24622518	444176	BRG1
24842107	117189	GD3
24842107	37950	sialyltransferase
24842107	556734	integrin-beta1-mediated|integrin-beta1
24842107	25280	GD3-synthase
24842107	14001	GD3-induced
10025831	23583	FDG
23215050	28234	SLCO1B3 gene|OATP1B3|OATP1B3 protein|OATP1B3 variant 1|OATP1B3 V1
23215050	100007763	CCK-8
23215050	568416	OATP1B3 WT
