24622518	444176	BRG1	Q6GP55
24842107	37950	sialyltransferase	Q9GU23,Q9W121
24842107	556734	integrin-beta1-mediated	F1QG85,Q3YAA1
24842107	556734	integrin-beta1	F1QG85,Q3YAA1
10025831	23583	FDG	Q53HV7,A0A024RAZ8
23215050	28234	SLCO1B3 gene	Q9NPD5,B3KP78
23215050	28234	OATP1B3	Q9NPD5,B3KP78
23215050	28234	OATP1B3 protein	Q9NPD5,B3KP78
23215050	28234	OATP1B3 variant 1	Q9NPD5,B3KP78
23215050	28234	OATP1B3 V1	Q9NPD5,B3KP78
23215050	100007763	CCK-8	E9QEB3
23215050	568416	OATP1B3 WT	Q08CU4
